#Wavelength Intensity
4158.591 31969
4181.884 5618
4251.190 11792
4300.101 9651
4363.795 385
4510.733 5970
4522.323 2068
4596.097 2663
4628.441 1592
4702.316 2990
5118.202 1083
5151.391 2193
5162.285 5501
5187.746 5464
5221.271 5739
5421.352 2345
5451.652 4508
5495.874 12103
5558.702 10027
5572.541 4724
5606.733 9457
5650.704 4767
5739.520 2884
5802.080 903
5834.263 1513
5860.310 1404
5888.584 7138
5912.085 4983
6013.678 828
6032.127 20938
6043.223 8203
6145.441 2606
6369.575 752
6416.307 9885
6538.112 1743
6604.853 1085
6677.282 10895
6752.834 15445
6827.249 727
6871.289 14569
6937.664 7341
6965.431 100000
7030.251 13981
7107.478 2518
7125.820 1568
7147.042 36833
7206.980 1760
7272.936 22926
7353.293 2835
7372.118 273
7383.981 5617
7435.368 22
7503.869 1507
7514.652 1003
7635.106 2273
8667.944 6073
