#Wavelength Intensity
3383.107 25
3559.508 23
3765.270 66
3803.075 53
3828.385 78
3850.580 68
3948.030 239
4019.129 129
4043.390 296
4072.005 508
4158.591 704
4259.360 522
4277.530 1141
4300.100 254
4332.340 516
4348.064 810
4370.750 513
4400.990 265
4426.001 508
4481.810 347
4493.334 205
4510.730 217
4545.052 1013
4579.830 469
4589.898 703
4657.901 826
4673.661 114
4703.675 192
4726.868 768
4735.906 376
4764.865 1504
4806.021 676
4847.810 315
4879.864 1137
4965.080 479
5017.163 294
5143.270 288
5231.160 194
5343.581 127
5573.354 232
5587.026 230
5720.183 496
5760.551 912
5804.141 298
5912.090 332
5973.665 329
6032.127 569
6114.920 351
6169.822 630
6172.280 425
6203.493 273
6342.860 184
6384.720 193
6411.900 709
6415.540 544
6457.280 464
6531.340 265
6604.850 180
6643.700 249
6662.270 304
6677.280 739
6779.320 89
6684.290 200
6753.660 1050
6779.320 143
6871.290 1056
6911.230 573
6937.660 529
6943.610 227
6965.430 26890
6989.660 407
7018.570 197
7030.250 898
7107.480 100
7147.040 3707
7168.900 502
7206.980 617
7272.940 8640
7353.290 705
7372.120 1719
7435.370 643
7471.160 462
7484.330 663
7635.110 100000
7816.150 212
7847.540 273
7891.080 528
7978.970 743
8053.310 578
8330.450 319
8445.490 494
8478.360 312
8521.440 30978
8605.780 266
8620.460 220
8667.940 8423
