#Wavelength Intensity
3693.483 5
3950.675 19
4078.818 17
4109.772 13
4116.065 15
4193.424 34
4203.981 15
4384.464 24
4501.038 179
4524.616 100
4582.793 61
4624.232 561
4671.150 1113
4690.976 52
4696.953 169
4734.050 292
4792.546 40
4806.936 289
4829.625 214
4843.376 187
4916.445 212
4922.913 227
5028.143 48
5393.067 21
5696.225 26
5823.979 65
5874.877 41
5894.553 52
6198.630 51
6285.775 28
6317.855 155
6470.177 163
6487.633 75
6533.028 53
6595.515 100
6668.920 255
6728.010 343
6827.320 373
6872.109 270
6882.160 695
6925.530 90
6976.180 172
7119.600 1398
7386.000 345
7393.790 460
7584.680 1071
7802.650 390
7887.400 1562
7967.340 1863
8029.670 237
8206.336 2389
8231.634 277559
8280.116 100000
8346.822 7742
8409.189 14429
8576.010 342
8648.540 853
8739.381 2016
8758.200 647
8819.411 473715
8908.730 1499
8930.830 1882
8952.251 54820
8987.570 923
9045.447 91272
9162.652 99038
9445.340 1449
9513.377 4192
9685.320 1278
9718.160 1120
