# Xe I Pen-Ray Spectrum
# all obs intensities at 100 sec exposure
# Obs Obs Comment
# Wave Intensity
3693.490     5
3796.300     3
3809.840     1 weak
3967.541     21
3974.417     2
3985.202     2
4078.820     10
4109.709     5
4116.115     7
4135.133     2 weak
4193.528     21
4203.695     8
4235.030     5 very weak
4500.978     154
4524.681     79
4582.747     42
4603.0300    50    acs: add
4611.888     7
4624.276     517
# acs: start
4671.226     2000
#4690.970     19 on wing
4697.021     600
4734.152     800
#4792.619     22
4807.019     800
4829.708     700
4843.293     700
#4876.5000    30   acs: add
#4883.5300    30   acs: add
#4916.507     203
#4923.152     176
4972.7100    60    acs: add
5028.279     80    acs: increase from 36
#5044.9200    30    acs: add
#5127.240     1
#5162.711     2
#5191.3700    30    acs: add
5260.4400    70    acs: add
5292.2200    100    acs: add
#5313.8700    20    acs: add
5339.3800    80    acs: add
#5373.740     1
#5392.7950    20    acs: add
#5397.630     0
#5418.020    too weak
5419.1500    100    acs: add
#5438.9600    30    acs: add
#5460.037     1
5506.1149    400    acs: add
#5531.0700    70    acs: add
#5532.780     70   acs: increased from 1
#5552.385     7
#5566.615     15
#5612.650     1
#5618.878     6
#5646.190     1
#5659.3800    20    acs: add
#5667.5600    20    acs: add
#5688.373     3
#5695.7500    30    acs: add
#5715.7160    30    acs: add
#5751.0300    10    acs: add
#5776.3900    12    acs: add
#5807.311     1
#5814.505     4
5823.8900    300   acs: add
#5830.630     1
#5840.830     3 weak
#5856.509     3
5875.018     50
5894.988     200
#5904.462     3
#5934.5310    200    acs: add
#5974.152     6
#5976.4600     20    acs: add
#5989.180     2
#5998.115     4
#6036.2000     20   acs: add
#6043.380     1 weak
#6051.1500     10   acs: add
#6097.5900     10   acs: add
#6111.9510     20   acs: add
#6152.070     3
6163.6600     50    acs: add
#6178.3020     50    acs: add
6182.4200     500   acs: add
#6198.2600     20    acs: add
#6224.168     7
#6242.090     1 weak
#6286.011     8
#6292.6490    20    acs: add
6318.062     600
#6344.980     3
#6355.770     2
#6430.155     4
6469.7050    600    acs: add
#6487.765     26
#6498.7180    21    acs: add
#6504.180     21
#6521.508     8
#6533.159     16
#6543.3600    15    acs: add
#6554.196     11
#6583.270     2
6595.561     300
#6632.464     20
#6657.920     5
6668.9200    600    acs: add
#6678.9720    40    acs: add
6728.008     700
#6767.120     6
#6777.5700    20
6827.315     700
6846.6130    350    acs: add
#6872.107     67
#6882.155     1500 blend
#6910.820     10
#6925.530     37
6976.182     400
#6982.050     7
#7019.020     12
#7035.530     11
#7047.370     14
7119.598     3000
#7136.570     7
#7172.700     3 weak
#7200.790     5
#7209.140     1 weak
#7222.640     1 weak
#7244.940     13
#7257.940     43
#7262.540     1 wing but ok
#7266.490     25
#7307.370     2 weak
7321.452     1000
7336.480     500
7355.580     400
#7386.003     118
#7393.793     160
#7400.410     47
#7424.050     21
#7441.940     20
#7451.000     17 poor wavelength
7472.010     500
#7492.230     37
#7501.130     22
7559.790     300
7584.680     2000
#7600.770     7
7642.024     14470
#7740.310     21
#7783.660     21
#7789.420     2
#7802.651     111
#7832.980     6
#7841.230     7
#7881.320     21
7887.393     3000
#7937.410     6
7967.342     3000
#8003.260     2
#8029.670     36
#8057.258     2500
#8061.339     90
#8101.980     23
#8109.460     6
#8118.290     10
#8171.020     41
#8206.336     810
8231.634     180000
#8266.520     657
8280.116     137109
#8324.580     24
8346.822     12965
#8372.790     3
#8392.370     5
8409.189     15093
#8437.550     2
#8522.550     21
#8530.100     31
#8576.010     98
#8624.240     56
8648.540     1500
#8692.200     53
#8696.860     55
#8709.640     18
#8739.372     3000
#8758.200     150
8819.411     150000
8862.320     5000
#8885.710     1 very weak
#8908.730     456
#8930.830     582
8952.251     60000
#8981.050     154
#8987.570     295
#9025.980     1 on wing
#9032.180     1 on wing
9045.447     65000
#9096.130     67
#9112.240     14
9162.652     80000
#9203.200     215
#9211.380     95
#9222.390     65
#9301.950     61
#9306.640     76
#9374.760     1500
#9412.010     207
#9445.340     400
#9497.070     89
9513.377     1491
#9585.140     34
#9685.320     370
#9700.990     35
#9718.160     259
9799.697     1200
