# Neon I Pen-Ray Spectrum		
# T. Williams
# Obs    		Comment
# Wave	Intensity	
4275.559	4	
4424.807	25	blend
4488.093	4	
4575.062	5	
4628.311	3	
4645.418	4	
4656.394	8	
4661.105	1	on wing
4687.671	3	
4704.395	32	
4715.344	14	
4752.732	35	
4837.314	29	
4884.917	17	
4892.090	3	
4939.041	2	
4944.987	4	
4955.391		
4957.034	30	
4994.930	5	
5005.159	13	
5011.003	0	
5022.870	5	
5031.348	39	
5037.751	266	
5074.201	23	
5080.383	148	
5099.052	1	weak
5104.701	6	
5116.503	275	
5158.902	2	on wing
5188.612	52	
5203.896	80	
5222.352	33	
5234.027	15	
5280.085	6	
5298.189	32	
5304.758	15	
5330.778	918	
5341.094	1204	
5360.012	10	
5372.311	34	
5400.562	1764	
5433.651	32	
5448.509	33	
5656.659	384	
5689.816	215	
5748.299	795	
5764.419	3453	
5804.450	615	blend
5811.407	41	
5820.156	1982	
5828.906	30	
5852.488	135756	
5872.828	619	blend
5881.895	112313	
5902.462	1087	
5906.429	148	
5913.633	110	
5918.907	141	
5944.834	185463
5965.471	643
5987.907	516
5991.648	14
6000.928	175
6029.997	57830
6074.338	170263
6128.450	8734
6143.063	480824
6163.594	139040
6182.146	667
6189.065	31
6205.778	101
6217.281	123607
6246.729	180
6266.495	267247
6304.789	87623
6334.428	360500
6351.853	46
6382.991	423575
6402.248	861272
6421.704	71
6444.712	287
6506.528	445399
6532.882	164581
6598.953	191604
6652.093	725
6678.277	337364
6717.043	223258
6738.032	534
6929.467	306228
7024.050	26879
7032.413	1235157
7051.292	668
7059.108	4408
7173.938	65236
7245.167	544822
7438.898	156226
7472.438	1952
7488.871	26254
7535.774	24621
7544.044	10043
7724.623	14
7833.028	13
7839.052	90
7927.117	105
7936.996	312
7943.181	2321
8082.458	4636
8118.550	860
8128.911	243
8136.406	4399
8248.683	68
8259.380	750
8266.077	1857
8300.325	13117
8365.746	1683
8377.607	61126
8418.427	9796
8463.357	1131
8484.442	429
8495.359	34736
8544.695	538
8571.354	518
8582.903	309	
8591.258	9293	
8634.647	11115	
8647.041	937	
8654.383	16416	
8704.112	772	
8771.658	1554	
8792.506	2	on wing
8830.907	114	
8853.867	7798	
8919.501	1819	
8988.556	371	
9148.672	2219	
9201.759	1690	
9226.691	57	
9275.519	143	
9300.853	1297
9313.973	450
9326.507	1143
