# Xe I Pen-Ray Spectrum		
#   all obs intensities at 100 sec exposure	
# T. Williams
# Obs	Obs	Comment
# Wave	Intensity	
3693.490	5	
3796.300	3	
3809.840	1	weak
3863.4059               ThAr?
3950.925        120
3967.541	21	
3974.417	2	
3985.202	2	
4078.820	10	
4109.709	5	
4116.115	7	
4135.133	2	weak
4193.528	21	
4203.695	8	
4235.030	5	very weak
4500.978	154	
4524.681	79	
4582.747	42	
4611.888	7	
4624.276	517	
4671.226	1068	
4690.970	19	on wing
4697.021	132	
4734.152	342	
4792.619	22	
4807.019	256	
4829.708	233	
4843.293	136	
4916.507	203	
4923.152	176
5028.279	36
5127.240	1
5162.711	2
5373.740	1
5460.037	1
5532.780	1
5552.385	7
5566.615	15
5612.650	1
5618.878	6
5646.190	1
5688.373	3
5807.311	1
5814.505	4
5823.89         300     NIST
5824.80         150     NIST
5830.630	1
5840.830	3	weak
5856.509	3	
5875.018	23	
5894.988	29	
5904.462	3	
5974.152	6	
5989.180	2	
5998.115	4	
6043.380	1	weak
6152.070	3	
6182.42        300      NIST
6198.26        100      NIST
6224.168	7	
6242.090	1	weak
6286.011	8	
6318.062	108	
6344.980	3	
6355.770	2	
6430.155	4	
6487.765	26	
6504.180	21	
6521.508	8	
6533.159	16	
6554.196	11	
6583.270	2	
6595.561	34	
6632.464	20	
6657.920	5	
6728.008	124	
6767.120	6	
6827.315	131	
6872.107	67	
6882.155	325	blend
6910.820	10	
6925.530	37	
6976.182	61	
6982.050	7	
7019.020	12	
7035.530	11	
7047.370	14	
7119.598	500	
7136.570	7	
7172.700	3	weak
7200.790	5	
7209.140	1	weak
7222.640	1	weak
7244.940	13	
7257.940	43	
7262.540		wing but ok
7266.490	25	
7307.370	2	weak
7321.452	62	
7336.480	77	
7355.580	33	
7386.003	118	
7393.793	160	
7400.410	47	
7424.050	21	
7441.940	20	
7451.000	17	poor wavelength
7472.010	91	
7492.230	37	
7501.130	22	
7559.790	38	
7584.680	341	
7600.770	7	
7642.024	1447
7740.310	21
7783.660	21
7789.420	2
7802.651	111
7832.980	6
7841.230	7
7881.320	21
7887.393	370
7937.410	6
7967.342	479
8003.260	2
8029.670	36
8057.258	88
8061.339	90
8101.980	23
8109.460	6
8118.290	10
8171.020	41
8206.336	810
8231.634	93248
8266.520	657
8280.116	37109
8324.580	24
8346.822	2965
8372.790	3
8392.370	5
8409.189	5093
8437.550	2
8522.550	21
8530.100	31
8576.010	98
8624.240	56	
8648.540	209	
8692.200	53	
8696.860	55	
8709.640	18	
8739.372	604	
8758.200	150	
8819.411	182381	
8862.320	991	
8885.710	1	very weak
8908.730	456	
8930.830	582	
8952.251	49668	
8981.050	154	
8987.570	295	
9025.980	?	on wing
9032.180	?	on wing
9045.447	33775	
9096.130	67	
9112.240	14	
9162.652	44361	
9203.200	215	
9211.380	95	
9222.390	65	
9301.950	61	
9306.640	76	
9374.760	866	
9412.010	207	
9445.340	400	
9497.070	89	
9513.377	1491	
9585.140	34	
9685.320	370
9700.990	35
9718.160	259
9799.697	36128
