# Database of PFIS CCD amplifier properties
# 01 Sep 2016--Updated based on-telescope measurements
# See: http://www.salt.ac.za/~lab/pdetanom/
# ROSPEED GAINSET   GAIN RDNOISE BIAS AMP
SLOW FAINT   1.59 2.34 300 amp1
SLOW FAINT   1.69 2.51 300 amp2
SLOW FAINT   1.71 2.45 300 amp3
SLOW FAINT   1.61 2.33 300 amp4
SLOW FAINT   1.60 2.38 300 amp5
SLOW FAINT   1.53 2.22 300 amp6
SLOW BRIGHT  3.54  4.29 300 amp1
SLOW BRIGHT  3.71  4.47 300 amp2
SLOW BRIGHT  3.77  3.79 300 amp3
SLOW BRIGHT  3.54  3.72 300 amp4
SLOW BRIGHT  3.46  3.60 300 amp5
SLOW BRIGHT  3.26  3.42 300 amp6
FAST FAINT   2.98  4.79 300 amp1
FAST FAINT   3.19  4.77 300 amp2
FAST FAINT   3.15  4.37 300 amp3
FAST FAINT   2.91  4.32 300 amp4
FAST FAINT   2.84  4.30 300 amp5
FAST FAINT   2.68  4.10 300 amp6
FAST BRIGHT  11.70 14.15 300 amp1
FAST BRIGHT  11.57 14.30 300 amp2
FAST BRIGHT  11.54 12.47 300 amp3
FAST BRIGHT  11.13 12.74 300 amp4
FAST BRIGHT  10.09 11.26 300 amp5
FAST BRIGHT  9.88 11.00 300 amp6
