# Database of PFIS CCD amplifier properties
# 24 Apr 2012--Updated based on-sky measuremens
# See: http://www.salt.ac.za/~lab/pdetanom/
# ROSPEED GAINSET   GAIN RDNOISE BIAS AMP
SLOW FAINT   2.146  2.47 300 amp1
SLOW FAINT   2.274 2.51 300 amp2
SLOW FAINT   1.687 2.40 300 amp3
SLOW FAINT   1.595 2.44 300 amp4
SLOW FAINT   1.520 2.45 300 amp5
SLOW FAINT   1.473 2.39 300 amp6
SLOW BRIGHT  4.55  3.75 300 amp1
SLOW BRIGHT  4.70  3.63 300 amp2
SLOW BRIGHT  3.56  3.37 300 amp3
SLOW BRIGHT  3.33  3.25 300 amp4
SLOW BRIGHT  3.25  3.30 300 amp5
SLOW BRIGHT  3.10  3.20 300 amp6
FAST FAINT   3.52  4.00 300 amp1
FAST FAINT   3.77  4.27 300 amp2
FAST FAINT   2.86  4.03 300 amp3
FAST FAINT   2.72  3.99 300 amp4
FAST FAINT   2.65  3.90 300 amp5
FAST FAINT   2.56  3.77 300 amp6
FAST BRIGHT  12.71 13.20 300 amp1
FAST BRIGHT  12.50 13.10 300 amp2
FAST BRIGHT  10.15 11.90 300 amp3
FAST BRIGHT  10.17 11.90 300 amp4
FAST BRIGHT  8.76 11.30 300 amp5
FAST BRIGHT  8.57 11.00 300 amp6
