# Database of SALTICAM CCD amplifier properties
# 23 Jan 2011 - Telescope Data
# READOUT GAINSTATE GAIN RDNOISE BIAS AMP
SLOW FAINT  1.57  4.02  300 amp1
SLOW FAINT  1.49  2.70  300 amp2
SLOW FAINT  1.59  3.07  300 amp3
SLOW FAINT  1.54  3.48  300 amp4
SLOW BRIGHT 3.25  4.85  300 amp1
SLOW BRIGHT 3.08  3.81  300 amp2
SLOW BRIGHT 3.35  4.68  300 amp3
SLOW BRIGHT 3.35  5.24  300 amp4
FAST FAINT  2.72  9.38  300 amp1
FAST FAINT  2.57  4.55  300 amp2
FAST FAINT  2.76  5.08  300 amp3
FAST FAINT  2.85  5.77  300 amp4
FAST BRIGHT  9.1  17.23  300 amp1
FAST BRIGHT  9.8  19.85 300 amp2
FAST BRIGHT  9.5  14.09 300 amp3
FAST BRIGHT  9.8  14.09 300 amp4
