# Database of SALTICAM CCD amplifier properties
# 4 Jul 2005 - Lab Data
# READOUT GAINSTATE GAIN RDNOISE BIAS AMP
SLOW FAINT  1.02  4.42  300 amp1
SLOW FAINT  0.99  3.98  300 amp2
SLOW FAINT  1.08  3.38  300 amp3
SLOW FAINT  1.07  2.85  300 amp4
SLOW BRIGHT 2.42  3.60  300 amp1
SLOW BRIGHT 2.37  3.27  300 amp2
SLOW BRIGHT 2.55  4.78  300 amp3
SLOW BRIGHT 2.52  4.02  300 amp4
FAST FAINT  1.64  5.07  300 amp1
FAST FAINT  1.58  5.23  300 amp2
FAST FAINT  1.57  5.56  300 amp3
FAST FAINT  1.65  5.61  300 amp4
FAST BRIGHT 4.11 12.83  300 amp1
FAST BRIGHT 4.12 14.37  300 amp2
FAST BRIGHT 4.21 15.19  300 amp3
FAST BRIGHT 4.30 14.63  300 amp4
